source_layer,source_object,source_columns,target_layer,target_object,target_columns,mapping_category,primary_key,foreign_keys,source_to_target_mapping,join_rules,aggregation_rules,cast_rules,dq_rules,audit_rules,transformation_logic,business_purpose,output_dataset,dbt_model,implementation
bronze,disputes,"dispute_id,transaction_id,card_id,dispute_reason,filed_date,disputed_amount,outcome,outcome_date,refund_amount,case_reference,status",silver,silver_disputes,"dispute_id,transaction_id,card_id,dispute_reason,filed_date,disputed_amount,outcome,outcome_date,refund_amount,case_reference,status",1:1 passthrough,dispute_id,"transaction_id→transactions,card_id→credit_cards",direct column passthrough,none,none,"filed_date→DATE,outcome_date→DATE,disputed_amount→FLOAT64,refund_amount→FLOAT64","NOT NULL: dispute_id,card_id,dispute_reason,status","audit_source_system,audit_source_table,audit_insert_ts,audit_update_ts,audit_record_hash,dq_checked_at,dq_error_count,dq_errors,dq_status",SAFE_CAST date and amount fields,Dispute case records,silver,silver_disputes,Complete
bronze,chargeback_cases,"chargeback_id,dispute_id,card_id,chargeback_amount,filed_date,current_stage,acquirer_response,network_case_ref,resolution_date,bank_liability,recovery_amount",silver,silver_chargeback_cases,"chargeback_id,dispute_id,card_id,chargeback_amount,filed_date,current_stage,acquirer_response,network_case_ref,resolution_date,bank_liability,recovery_amount",1:1 passthrough,chargeback_id,"dispute_id→disputes,card_id→credit_cards",direct column passthrough,none,none,"filed_date→DATE,resolution_date→DATE,chargeback_amount→FLOAT64,recovery_amount→FLOAT64","NOT NULL: chargeback_id,card_id,current_stage","audit_source_system,audit_source_table,audit_insert_ts,audit_update_ts,audit_record_hash,dq_checked_at,dq_error_count,dq_errors,dq_status",SAFE_CAST date and amount fields,Chargeback case records,silver,silver_chargeback_cases,Complete
bronze,velocity_hits,"hit_id,rule_id,transaction_id,card_id,triggered_at,measured_value,action_taken,override_by",silver,silver_velocity_hits,"hit_id,rule_id,transaction_id,card_id,triggered_at,measured_value,action_taken,override_by",1:1 passthrough,hit_id,"rule_id→dim_velocity_rules,transaction_id→transactions,card_id→credit_cards",direct column passthrough,none,none,"triggered_at→DATE,measured_value→FLOAT64","NOT NULL: hit_id,rule_id,card_id,action_taken","audit_source_system,audit_source_table,audit_insert_ts,audit_update_ts,audit_record_hash,dq_checked_at,dq_error_count,dq_errors,dq_status",SAFE_CAST date and value fields,Velocity rule hit records,silver,silver_velocity_hits,Complete
bronze,merchant_blacklist,"blacklist_id,merchant_id,merchant_name,blacklist_reason,added_date,added_by,review_date,is_active,notes",silver,silver_merchant_blacklist,"blacklist_id,merchant_id,merchant_name,blacklist_reason,added_date,added_by,review_date,is_active,notes",1:1 passthrough,blacklist_id,merchant_id→merchants,direct column passthrough,none,none,"added_date→DATE,review_date→DATE","NOT NULL: blacklist_id,merchant_id,blacklist_reason","audit_source_system,audit_source_table,audit_insert_ts,audit_update_ts,audit_record_hash,dq_checked_at,dq_error_count,dq_errors,dq_status",SAFE_CAST date fields,Merchant blacklist records,silver,silver_merchant_blacklist,Complete
bronze,rewards,"reward_id,card_id,customer_id,program_type,points_balance,points_earned_ytd,points_redeemed_ytd,points_expiring,expiry_date,tier,enrolled_date",silver,silver_rewards,"reward_id,card_id,customer_id,program_type,points_balance,points_earned_ytd,points_redeemed_ytd,points_expiring,expiry_date,tier,enrolled_date",1:1 passthrough,reward_id,"card_id→credit_cards,customer_id→customers",direct column passthrough,none,none,"expiry_date→DATE,enrolled_date→DATE,points_balance→INT64","NOT NULL: reward_id,card_id,customer_id,program_type","audit_source_system,audit_source_table,audit_insert_ts,audit_update_ts,audit_record_hash,dq_checked_at,dq_error_count,dq_errors,dq_status",SAFE_CAST date and integer fields,Rewards programme records,silver,silver_rewards,Complete
bronze,reward_redemptions,"redemption_id,reward_id,card_id,customer_id,redemption_type,points_used,cash_equivalent,redeemed_date,reference,status",silver,silver_reward_redemptions,"redemption_id,reward_id,card_id,customer_id,redemption_type,points_used,cash_equivalent,redeemed_date,reference,status",1:1 passthrough,redemption_id,"reward_id→rewards,card_id→credit_cards,customer_id→customers",direct column passthrough,none,none,"redeemed_date→DATE,points_used→INT64,cash_equivalent→FLOAT64","NOT NULL: redemption_id,reward_id,card_id,customer_id,status","audit_source_system,audit_source_table,audit_insert_ts,audit_update_ts,audit_record_hash,dq_checked_at,dq_error_count,dq_errors,dq_status",SAFE_CAST date and numeric fields,Reward redemption events,silver,silver_reward_redemptions,Complete
bronze,kyc_documents,"kyc_id,customer_id,document_type,document_number,issued_country,issue_date,expiry_date,verified_date,verification_method,status,reviewer_id",silver,silver_kyc_documents,"kyc_id,customer_id,document_type,document_number,issued_country,issue_date,expiry_date,verified_date,verification_method,status,reviewer_id",1:1 passthrough,kyc_id,customer_id→customers,direct column passthrough,none,none,"issue_date→DATE,expiry_date→DATE,verified_date→DATE","NOT NULL: kyc_id,customer_id,document_type,status","audit_source_system,audit_source_table,audit_insert_ts,audit_update_ts,audit_record_hash,dq_checked_at,dq_error_count,dq_errors,dq_status",SAFE_CAST date fields,KYC identity document records,silver,silver_kyc_documents,Complete
bronze,contact_history,"contact_id,customer_id,contact_date,channel,reason,outcome,duration_seconds,agent_id,satisfaction_score,notes",silver,silver_contact_history,"contact_id,customer_id,contact_date,channel,reason,outcome,duration_seconds,agent_id,satisfaction_score,notes",1:1 passthrough,contact_id,customer_id→customers,direct column passthrough,none,none,"contact_date→DATE,duration_seconds→INT64,satisfaction_score→INT64","NOT NULL: contact_id,customer_id,channel,reason","audit_source_system,audit_source_table,audit_insert_ts,audit_update_ts,audit_record_hash,dq_checked_at,dq_error_count,dq_errors,dq_status",SAFE_CAST date and integer fields,Customer service contact log,silver,silver_contact_history,Complete
bronze,emi_plans,"emi_plan_id,transaction_id,card_id,original_amount,tenure_months,monthly_interest_rate,emi_amount,total_payable,start_date,end_date,installments_paid,status",silver,silver_emi_plans,"emi_plan_id,transaction_id,card_id,original_amount,tenure_months,monthly_interest_rate,emi_amount,total_payable,start_date,end_date,installments_paid,status",1:1 passthrough,emi_plan_id,"transaction_id→transactions,card_id→credit_cards",direct column passthrough,none,none,"start_date→DATE,end_date→DATE,all amounts→FLOAT64,tenure_months→INT64,installments_paid→INT64","NOT NULL: emi_plan_id,card_id,status","audit_source_system,audit_source_table,audit_insert_ts,audit_update_ts,audit_record_hash,dq_checked_at,dq_error_count,dq_errors,dq_status",SAFE_CAST date and numeric fields,EMI instalment plan records,silver,silver_emi_plans,Complete
bronze,notifications,"notification_id,customer_id,notification_type,channel,sent_at,delivered,read,message_preview,action_taken",silver,silver_notifications,"notification_id,customer_id,notification_type,channel,sent_at,delivered,read,message_preview,action_taken",1:1 passthrough,notification_id,customer_id→customers,direct column passthrough,none,none,sent_at→DATE,"NOT NULL: notification_id,customer_id,notification_type,channel","audit_source_system,audit_source_table,audit_insert_ts,audit_update_ts,audit_record_hash,dq_checked_at,dq_error_count,dq_errors,dq_status",SAFE_CAST date field,Customer notification records,silver,silver_notifications,Complete
bronze,credit_limit_history,"limit_history_id,card_id,effective_date,previous_limit,new_limit,change_reason,approved_by,is_current",silver,silver_credit_limit_history,"limit_history_id,card_id,effective_date,previous_limit,new_limit,change_reason,approved_by,is_current",1:1 passthrough,limit_history_id,card_id→credit_cards,direct column passthrough,none,none,"effective_date→DATE,previous_limit→INT64,new_limit→INT64","NOT NULL: limit_history_id,card_id,new_limit","audit_source_system,audit_source_table,audit_insert_ts,audit_update_ts,audit_record_hash,dq_checked_at,dq_error_count,dq_errors,dq_status",SAFE_CAST date and integer fields,Credit limit change history,silver,silver_credit_limit_history,Complete
bronze,interest_rates,"rate_id,card_id,rate_type,apr,daily_rate,promotional_rate,promo_end_date,effective_date,is_current",silver,silver_interest_rates,"rate_id,card_id,rate_type,apr,daily_rate,promotional_rate,promo_end_date,effective_date,is_current",1:1 passthrough,rate_id,card_id→credit_cards,direct column passthrough,none,none,"promo_end_date→DATE,effective_date→DATE,apr→FLOAT64,daily_rate→FLOAT64,promotional_rate→FLOAT64","NOT NULL: rate_id,card_id,rate_type,apr","audit_source_system,audit_source_table,audit_insert_ts,audit_update_ts,audit_record_hash,dq_checked_at,dq_error_count,dq_errors,dq_status",SAFE_CAST date and rate fields,Card interest rate schedule,silver,silver_interest_rates,Complete
bronze,dim_card_types,"card_type_id,card_name,network,tier,annual_fee,reward_rate,lounge_access,travel_insurance",silver,silver_dim_card_types,"card_type_id,card_name,network,tier,annual_fee,reward_rate,lounge_access,travel_insurance",1:1 passthrough,card_type_id,none,direct column passthrough,none,none,"annual_fee→FLOAT64,reward_rate→FLOAT64","NOT NULL: card_type_id,card_name,network,tier","audit_source_system,audit_source_table,audit_insert_ts,audit_update_ts,audit_record_hash,dq_checked_at,dq_error_count,dq_errors,dq_status",SAFE_CAST numeric fields,Card type reference data,silver,silver_dim_card_types,Complete
bronze,dim_merchant_categories,"mcc_code,category_name,category_group",silver,silver_dim_merchant_categories,"mcc_code,category_name,category_group",1:1 passthrough,mcc_code,none,direct column passthrough,none,none,none,"NOT NULL: mcc_code,category_name,category_group","audit_source_system,audit_source_table,audit_insert_ts,audit_update_ts,audit_record_hash,dq_checked_at,dq_error_count,dq_errors,dq_status",No casts needed — all string columns,MCC reference data,silver,silver_dim_merchant_categories,Complete
bronze,dim_transaction_types,"txn_type_id,type_name,is_credit",silver,silver_dim_transaction_types,"txn_type_id,type_name,is_credit",1:1 passthrough,txn_type_id,none,direct column passthrough,none,none,none,"NOT NULL: txn_type_id,type_name","audit_source_system,audit_source_table,audit_insert_ts,audit_update_ts,audit_record_hash,dq_checked_at,dq_error_count,dq_errors,dq_status",No date casts — boolean is_credit is already typed,Transaction type reference data,silver,silver_dim_transaction_types,Complete
bronze,dim_velocity_rules,"rule_id,rule_name,rule_type,threshold,window_hours,action",silver,silver_dim_velocity_rules,"rule_id,rule_name,rule_type,threshold,window_hours,action",1:1 passthrough,rule_id,none,direct column passthrough,none,none,"threshold→FLOAT64,window_hours→INT64","NOT NULL: rule_id,rule_name,rule_type,action","audit_source_system,audit_source_table,audit_insert_ts,audit_update_ts,audit_record_hash,dq_checked_at,dq_error_count,dq_errors,dq_status",SAFE_CAST numeric fields,Velocity rule definitions,silver,silver_dim_velocity_rules,Complete
silver,"silver_customers,silver_addresses,silver_accounts,silver_credit_cards,silver_rewards,silver_kyc_documents,silver_contact_history","customer_id,full_name,email,customer_type,customer_status,address fields,account aggregates,reward aggregates,kyc_status,contact aggregates",gold,gold_customer_360,"customer_id,full_name,email,customer_type,customer_status,address_line1,city,state_code,postal_code,country_code,account_count,total_credit_limit,total_current_balance,total_reward_points,kyc_status,contact_count,satisfaction_avg",customer 360 join,customer_id,"COUNT(accounts),SUM(credit_limit),SUM(balance),SUM(points_balance),MAX(kyc_status),COUNT(contacts)",no casts needed in gold,"NOT NULL: customer_id; UNIQUE: customer_id","gold_entity_name,gold_created_ts,gold_record_hash",LEFT JOIN address on is_primary; LEFT JOIN accounts_agg; LEFT JOIN rewards_agg,Unified customer view for BI and CRM,gold,gold_customer_360,Complete
silver,"silver_transactions,silver_credit_cards,silver_merchants,silver_dim_transaction_types,silver_dim_merchant_categories,silver_fraud_alerts,silver_disputes","transaction_id and all transaction fields plus enriched dimensions",gold,gold_transaction_360,"transaction_id,card_id,customer_id,merchant_id,merchant_name,category_group,category_name,transaction_date,amount,currency,status,txn_type_name,is_credit,is_online,is_international,is_flagged,has_fraud_alert,has_dispute",enriched transaction join,transaction_id,none — grain is one row per transaction,"no casts","NOT NULL: transaction_id,customer_id; UNIQUE: transaction_id","gold_entity_name,gold_created_ts,gold_record_hash",JOIN silver_credit_cards for customer_id; JOIN merchants and dims; LEFT JOIN fraud_alerts and disputes,Enriched transaction ledger for spend analytics,gold,gold_transaction_360,Complete
silver,"silver_merchants,silver_transactions,silver_disputes,silver_chargeback_cases,silver_merchant_blacklist,silver_dim_merchant_categories","merchant_id and aggregated performance metrics",gold,gold_merchant_performance,"merchant_id,merchant_name,merchant_city,merchant_country,category_group,category_name,is_online,is_blacklisted,total_transactions,total_volume,avg_txn_amount,unique_cards,dispute_count,dispute_rate,chargeback_count,total_chargeback_amount,recovery_rate",merchant aggregation,merchant_id,"COUNT(txn),SUM(amount),COUNT(dispute),SUM(chargeback_amount)",none,"NOT NULL: merchant_id; UNIQUE: merchant_id","gold_entity_name,gold_created_ts,gold_record_hash",GROUP BY merchant_id; LEFT JOIN blacklist; LEFT JOIN disputes and chargebacks,Merchant volume and risk performance for analytics,gold,gold_merchant_performance,Complete
silver,"silver_accounts,silver_credit_cards,silver_statements,silver_payments,silver_fees,silver_interest_rates,silver_credit_limit_history","account_id and all financial summary metrics",gold,gold_account_financial_summary,"account_id,customer_id,account_type,account_status,current_balance,overdraft_limit,card_count,total_credit_limit,statement_count,total_purchases,total_payments,total_fees_paid,total_interest_paid,missed_payment_count,current_apr,current_credit_limit",account financial join,account_id,"COUNT(cards),SUM(statement metrics),COUNT(missed payments)",none,"NOT NULL: account_id; UNIQUE: account_id","gold_entity_name,gold_created_ts,gold_record_hash",JOIN accounts to credit_cards; AGG statements/payments/fees; GET current rate and limit,Comprehensive account financial summary,gold,gold_account_financial_summary,Complete
silver,"silver_fraud_alerts,silver_transactions,silver_disputes,silver_chargeback_cases,silver_velocity_hits,silver_credit_cards,silver_customers","alert_id and full fraud case context",gold,gold_fraud_case_360,"alert_id,transaction_id,customer_id,card_id,alert_type,alert_status,risk_score,is_genuine_fraud,transaction_amount,transaction_date,merchant_name,has_dispute,dispute_outcome,has_chargeback,chargeback_amount,velocity_hit_count,card_status,customer_status",fraud 360 join,alert_id,none — grain is one row per fraud alert,"no casts","NOT NULL: alert_id; UNIQUE: alert_id","gold_entity_name,gold_created_ts,gold_record_hash",JOIN transactions; JOIN credit_cards and customers; LEFT JOIN disputes/chargebacks; COUNT velocity_hits,Full fraud case view linking alert to investigation and outcome,gold,gold_fraud_case_360,Complete
silver,"silver_rewards,silver_reward_redemptions,silver_credit_cards,silver_customers,silver_transactions","reward_id and engagement metrics",gold,gold_rewards_engagement,"reward_id,card_id,customer_id,program_type,reward_tier,points_balance,points_earned_ytd,points_redeemed_ytd,redemption_count,total_cash_redeemed,total_spend_on_card,effective_reward_cost_pct,expiry_date,days_to_expiry",rewards join,reward_id,"COUNT(redemptions),SUM(cash_equivalent),SUM(spend)","no casts","NOT NULL: reward_id; UNIQUE: reward_id","gold_entity_name,gold_created_ts,gold_record_hash",JOIN credit_cards and customers; AGG redemptions; AGG spend from transactions; COMPUTE reward cost %,Rewards ROI and engagement analytics,gold,gold_rewards_engagement,Complete
